-0.24,0.59,9.84,0.021111,-0.086667,-0.068889
-0.24,0.59,9.91,0.052222,-0.058889,-0.074444
-0.23,0.65,9.91,0.052222,-0.058889,-0.074444
-0.26,0.63,9.83,0.063333,-0.022222,-0.067778
-0.29,0.69,9.82,0.08,0.013333,-0.063333
-0.33,0.68,9.69,0.076667,0.038889,-0.057778
-0.31,0.65,9.67,0.081111,0.052222,-0.054444
-0.29,0.61,9.51,0.085556,0.066667,-0.044444
-0.29,0.49,9.39,0.093333,0.063333,-0.031111
-0.32,0.47,9.27,0.11444,0.056667,-0.011111
-0.42,0.65,9.79,0.11778,0.068889,0.017778
-0.43,0.69,9.43,0.13667,0.091111,0.017778
-0.19,0.57,9.45,0.13111,0.11778,0.013333
-0.26,0.52,9.74,0.12333,0.11222,0.011111
-0.38,0.46,10.36,0.092222,0.14,0.016667
-0.43,0.41,9.65,0.096667,0.16333,0.024444
-0.31,0.28,9.66,0.062222,0.15556,0.041111
-0.29,0.4,10,0.04,0.17333,0.047778
-0.5,0.61,9.7,0.03,0.19,0.048889
-0.21,0.8,10.05,0.0055556,0.16222,0.044444
-0.47,0.84,9.52,-0.0011111,0.17333,0.035556
-0.5,1.01,9.57,0,0.16111,0.022222
-0.27,0.82,9.46,0.0055556,0.15222,0.011111
-0.37,0.82,9.7,-0.018889,0.12667,-0.0011111
-0.39,0.77,9.58,-0.031111,0.11111,-0.011111
-0.29,0.72,9.46,-0.032222,0.096667,-0.016667
-0.33,0.64,9.64,-0.073333,0.092222,-0.022222
-0.3,0.67,9.72,-0.11,0.072222,-0.02
-0.28,0.62,9.59,-0.12556,0.06,-0.015556
-0.39,0.61,9.49,-0.14556,0.046667,-0.012222
-0.45,0.59,9.54,-0.16889,0.038889,-0.0066667
-0.43,0.56,9.53,-0.2,0.021111,0.0044444
-0.46,0.54,9.52,-0.22889,0.0055556,0.012222
-0.52,0.6,9.57,-0.23556,-0.011111,0.022222
-0.57,0.69,9.51,-0.24667,-0.015556,0.026667
-0.59,0.66,9.64,-0.27,-0.01,0.022222
-0.7,0.51,9.44,-0.30444,-0.0055556,0.0077778
-0.58,0.44,9.41,-0.31222,-0.023333,0.0077778
-0.58,0.41,9.65,-0.30556,-0.032222,0.0033333
-0.68,0.33,9.71,-0.30556,-0.032222,0.0033333
-0.58,0.38,9.93,-0.30889,-0.034444,-0.0066667
-0.65,0.36,9.82,-0.29667,-0.027778,-0.02
-0.44,0.36,9.95,-0.27222,-0.01,-0.034444
-0.42,0.13,9.97,-0.14667,0.038889,-0.055556
-0.43,0.09,10.03,-0.14667,0.038889,-0.055556
-0.46,0.08,10.1,-0.085556,0.06,-0.066667
-0.58,-0.01,10.23,-0.013333,0.088889,-0.066667
-0.57,0.02,10.22,0.048889,0.12889,-0.053333
-0.74,0.06,10.09,0.10556,0.16778,-0.027778
-0.69,0.15,10.07,0.17111,0.22556,0
-0.73,0.1,10.26,0.21889,0.30222,0.011111
-0.79,0.01,10.21,0.22889,0.36333,0.028889
-0.89,0.06,9.95,0.23111,0.39889,0.046667
-0.88,0.03,9.39,0.20444,0.40556,0.056667
-0.88,0.13,9.37,0.17778,0.37222,0.073333
-0.95,0.37,9.3,0.17444,0.31,0.09
-0.8,0.59,9.61,0.17667,0.26222,0.088889
-0.88,0.63,9.41,0.15667,0.20667,0.073333
-0.81,0.66,9.57,0.13667,0.14889,0.047778
-0.91,0.76,9.36,0.10889,0.092222,0.018889
-0.7,0.48,9.39,0.04,-0.054444,-0.03
-0.68,0.49,9.39,0.04,-0.054444,-0.03
-0.69,0.6,9.81,0.014444,-0.12,-0.032222
-0.54,0.56,10.03,-0.0066667,-0.15556,-0.028889
-0.67,0.55,9.84,-0.028889,-0.17778,-0.023333
-0.56,0.43,9.79,-0.046667,-0.17111,-0.0088889
-0.52,0.13,9.93,-0.074444,-0.16,0.0022222
-0.62,0.21,9.79,-0.11111,-0.14667,0.023333
-0.64,0.24,9.54,-0.16111,-0.12889,0.046667
-0.59,0.23,9.62,-0.17889,-0.12444,0.074444
-0.64,0.35,9.44,-0.18667,-0.11778,0.10111
-0.75,0.38,9.7,-0.18667,-0.11778,0.10111
-0.67,0.48,9.79,-0.18667,-0.095556,0.10667
-0.61,0.34,9.54,-0.19,-0.061111,0.093333
-0.49,0.16,9.67,-0.17667,-0.022222,0.082222
-0.55,0.15,9.36,-0.16556,0.0077778,0.071111
-0.6,0.1,9.82,-0.15444,0.041111,0.063333
-0.77,0.47,9.79,-0.14556,0.081111,0.055556
-0.59,0.35,9.73,-0.11667,0.11222,0.027778
-0.62,0.27,9.48,-0.086667,0.11778,0.0033333
-0.66,0.09,9.37,-0.043333,0.11444,-0.023333
-0.52,-0.12,9.42,0.011111,0.10667,-0.042222
-0.49,-0.25,9.39,0.054444,0.054444,-0.044444
-0.54,-0.39,9.2,0.10444,0.0088889,-0.025556
-0.44,-0.57,9.27,0.12333,-0.035556,0.0033333
-0.57,-0.38,9.95,0.12889,-0.068889,0.053333
-0.62,-0.03,9.87,0.095556,-0.061111,0.087778
-0.52,0.11,9.81,0.052222,-0.011111,0.10222
-0.54,0.2,9.45,-0.0066667,0.032222,0.10556
-0.46,0.25,9.54,-0.056667,0.042222,0.10444
-0.54,0.33,9.58,-0.07,0.034444,0.093333
-0.65,0.42,9.4,-0.095556,-0.0044444,0.077778
-0.56,0.51,9.39,-0.10889,-0.06,0.062222
-0.53,0.59,9.46,-0.11556,-0.12667,0.044444
-0.67,0.62,9.94,-0.11667,-0.16222,0.014444
-0.64,0.55,9.73,-0.13,-0.18333,-0.013333
